page_name,fspageid,editors,title,page_number,fileid
2001 Volume 7 Issue 1,133,"Patrick C. Jobes, Elaine Barclay, Joseph Donnemeyer & Adam Graycar","Rural Crime in Australia: Contemporary Concerns, Recent Research and Future Directions",3,194
2001 Volume 7 Issue 1,133,"Robert Stimson, Scott Baum, Patrick Mullins & Kevin O'Connor",Australia's Regional Cities and Towns: Modelling Community Opportunity and Vulnerability,23,195
2001 Volume 7 Issue 1,133,Philip Maxwell,"Considering the Future of Kalgoorlie Boulder: The Challenges Facing a Large, Remote, Mining Town ",63,
2001 Volume 7 Issue 1,133,Dennis Howard,Isolating the Consequences of Government Policy on Regional Development: Comparative Analysis of the State Border Regions of Australia,83,193
2001 Volume 7 Issue 1,133,Gamini Herath,Estimating the User Cost of Soil Erosion in Tea Smallholdings in Sri Lanka ,97,192
2001 Volume 7 Issue 1,133,Kingsley E. Haynes,Social Science in Government: The Role of Policy Researchers,111,191
2001 Volume 7 Issue 1,133,Ifor Ffowcs-Williams,"Community Opportunity and Vulnerability in Australia's Cities and Towns: Characteristics, Patterns and Implications",112,191
2001 Volume 7 Issue 1,133,Edward Nissan,Regional Competition,114,191
2001 Volume 7 Issue 1,133,Patrick Mullins,Home Truths: Property Ownership and Housing Wealth in Australia ,117,191
2001 Voulme 7 Issue 2,152,"Barry R. Chiswick, Yew Liang Lee & Paul W. Miller",The Determinants of the Geographic Concentration Among Immigrants:Application to Australia   ,125,158
2001 Voulme 7 Issue 2,152,Edward Nissan & George H. Carter,"Income Dispersion Between States of Different Regions in the United States, Including Comparisons with Australia",151,160
2001 Voulme 7 Issue 2,152,Thomas M. Fullerton Jr & David A. Schauer,Regional Econometric Assessment of Aggregate Water Consumption Trends,167,159
2001 Voulme 7 Issue 2,152,Bernard Trendle,The Dispersion and Persistence of Queensland Regional Employment,189,162
2001 Voulme 7 Issue 2,152,Brian R. Parmenter & Andrew Welsh,Historical Simulations with the Monash Regional Equation System,209,161
2001 Voulme 7 Issue 2,152,Steve Garlick,Regional Development Agencies and Business Change,231,157
2001 Voulme 7 Issue 2,152,Stephen Hill,Regional Planning and Development in Europe,233,157
2001 Voulme 7 Issue 2,152,Bernard Trendle,Theories of Endogenous Growth: Lessons for Regional Policies  ,235,157
2001 Voulme 7 Issue 2,152,Chris Kissling,A Very Public Solution: Transport in the Dispersed City,237,157
2001 Voulme 7 Issue 2,152,Kevin O'Connor,Reflections on Regioanlism,239,157
2002 Volume 8 Issue 3,118,Christine Smith (Guest Editor),Editorial,237,110
2002 Volume 8 Issue 3,118,Robert L. Guild,Should PPPs Pencil Out? Infrastructure Partnerships in Regional Development,239,114
2002 Volume 8 Issue 3,118,Kevin O'Connor,Rethinking Globalisation and Urban Development: The Fortunes of Second-ranked Cities,247,118
2002 Volume 8 Issue 3,118,Gordon Forth & Ken Howell,Attracting and Retaining Skilled Employees and Entrepreneurs to Australia' Greater Green Triangle,261,
2002 Volume 8 Issue 3,118,"Christopher Miller, Gary Packham & David Pickernell","It's Regional Economic Development Jim, But Not as we Know it: The Reasons for Structure of and Preliminary Results of Enterprise College Wales",275,119
2002 Volume 8 Issue 3,118,"Siobhan Dent, John Switala, Philip Adams & Mark O'Sullivan",Foot-and-Mouth Disease Outbreak: Modelling Economic Implications for Queensland and Australia,303,112
2002 Volume 8 Issue 3,118,Bernard Trendle,Regional Variation in Queensland's Unemployment Rate,327,120
2002 Volume 8 Issue 3,118,Paul McPhee & Ann Hodgkinson,New South Wales Regions and Globalisation - A Conceptual Analysis of Innovation Driven Network Structures,349,115
2002 Volume 8 Issue 3,118,"Tony Melhuish, Marcus Blake & Susan Day",An Evaluation of Synthetic Household Populations for CensusCollection Districts Created Using Optimisation Techniques,369,116
2002 Volume 8 Issue 3,118,Terry L. Clower & Bernard L. Weinstein,The Impact of Dallas (Texas) Area Rapid Transit Light Rail Stations on Taxable Property Valuations,389,111
2002 Volume 8 Issue 3,118,Gudrun Meyer-Boehm,Comparison of MFP Growth in the Electronic and Electrical Equipment Industry Across the States of the USA 1982-1996,401,117
2003 - Volume 9 - Issue 1,35,,,,
2003 - Volume 9 - Issue 2,37,,,,
2003 - Volume 9 - Issue 3,38,,,,
